class_name,project_name,class_id,class_path,Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
ShardingJobHandler.java,xxl-job,AW-Z3VGWrInABnR0cIWM,xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/ShardingJobHandler.java,0,1.0,34.0,1.0,100.0,1.0,2,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,0,20.0,115.0,25.92592593
ShardingJobHandler.java,xxl-job,AW-Z3VGXrInABnR0cIWZ,xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/ShardingJobHandler.java,0,1.0,34.0,1.0,100.0,1.0,2,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,0,20.0,115.0,25.92592593
ShardingJobHandler.java,xxl-job,AW-Z3VGXrInABnR0cIWi,xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/ShardingJobHandler.java,0,4.0,8.0,2.0,65.52,2.5,2,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,13,20.0,115.0,25.92592593
ShardingJobHandler.java,xxl-job,AW-Z3VGXrInABnR0cIWv,xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/jobhandler/ShardingJobHandler.java,0,5.0,7.0,1.0,100.0,1.0,2,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,4,20.0,115.0,25.92592593
XxlJobAdminConfig.java,xxl-job,AW-Z3VGbrInABnR0cIYE,xxl-job-admin/src/main/java/com/xxl/job/admin/core/conf/XxlJobAdminConfig.java,0,17.0,9.0,5.0,90.62,2.0,7,12.0,19.0,1.0,2.0,88.0,16.0,1.0,15.0,29,102.0,0.0,8.108108108
XxlJobInfo.java,xxl-job,AW-Z3VGbrInABnR0cIX_,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java,0,24.0,11.0,3.0,49.57,2.5,2,0.0,44.0,1.0,0.0,902.0,44.0,0.0,22.0,21,158.0,0.0,3.067484663
XxlJobLogGlue.java,xxl-job,AW-Z3VGbrInABnR0cIX8,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobLogGlue.java,0,7.0,11.0,2.0,91.19,3.0,0,0.0,14.0,1.0,0.0,77.0,14.0,0.0,7.0,31,53.0,0.0,7.01754386
XxlJobRegistry.java,xxl-job,AW-Z3VGbrInABnR0cIX-,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobRegistry.java,0,1.0,55.0,1.0,100.0,1.0,0,0.0,10.0,1.0,0.0,35.0,10.0,0.0,5.0,0,39.0,0.0,7.142857143
LoginService.java,xxl-job,AW-Z3VGYrInABnR0cIXG,xxl-job-admin/src/main/java/com/xxl/job/admin/service/LoginService.java,0,1.0,107.0,1.0,100.0,1.0,0,10.0,17.0,1.0,19.0,4.0,5.0,4.0,12.0,4,72.0,0.0,20.0
ScriptJobHandler.java,xxl-job,AW-Z3VGcrInABnR0cIYd,xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/ScriptJobHandler.java,0,16.0,6.0,3.0,57.14,1.5,5,8.0,11.0,2.0,20.0,0.0,3.0,4.0,13.0,4,65.0,0.0,12.16216216
IndexController.java,xxl-job,AW-Z3VGbrInABnR0cIYO,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/IndexController.java,0,26.0,4.0,2.0,81.6,2.0,1,13.0,11.0,1.0,11.0,13.0,7.0,1.0,6.0,38,69.0,0.0,9.210526316
ExecutorRouteStrategyEnum.java,xxl-job,AW-Z3VGarInABnR0cIXk,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/ExecutorRouteStrategyEnum.java,0,8.0,6.0,2.0,60.71,1.0,1,12.0,7.0,1.0,4.0,2.0,4.0,3.0,2.0,2,37.0,0.0,7.5
JobApiController.java,xxl-job,AW-Z3VGbrInABnR0cIYI,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobApiController.java,0,21.0,6.0,3.0,69.92,3.0,8,14.0,11.0,1.0,13.0,4.0,5.0,2.0,5.0,81,68.0,0.0,36.44859813
TriggerTypeEnum.java,xxl-job,AW-Z3VGarInABnR0cIXz,xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/TriggerTypeEnum.java,0,1.0,26.0,1.0,100.0,1.0,0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0,16.0,0.0,23.80952381
ExecutorRouteRound.java,xxl-job,AW-Z3VGarInABnR0cIXu,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteRound.java,0,10.0,4.0,2.0,59.6,2.5,0,4.0,5.0,2.0,9.0,1.0,2.0,1.0,4.0,19,27.0,0.0,15.625
MethodJobHandler.java,xxl-job,AW-Z3VGcrInABnR0cIYf,xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/MethodJobHandler.java,0,2.0,25.0,2.0,58.43,6.5,0,2.0,7.0,2.0,4.0,0.0,5.0,1.0,4.0,0,37.0,0.0,7.5
CookieInterceptor.java,xxl-job,AW-Z3VGbrInABnR0cIYS,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/interceptor/CookieInterceptor.java,0,7.0,6.0,2.0,57.14,2.0,0,8.0,6.0,2.0,7.0,0.0,1.0,2.0,1.0,4,28.0,0.0,20.0
ExecutorRouteFirst.java,xxl-job,AW-Z3VGarInABnR0cIXr,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteFirst.java,0,7.0,3.0,2.0,73.85,3.0,0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,8,11.0,0.0,21.42857143
ExecutorRouteLast.java,xxl-job,AW-Z3VGarInABnR0cIXo,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteLast.java,0,7.0,3.0,2.0,73.02,3.0,0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,8,11.0,0.0,21.42857143
ExecutorRouteRandom.java,xxl-job,AW-Z3VGarInABnR0cIXn,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/strategy/ExecutorRouteRandom.java,0,8.0,3.0,2.0,69.57,2.0,0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,17,14.0,0.0,17.64705882
WebExceptionResolver.java,xxl-job,AW-Z3VGbrInABnR0cIYG,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/resolver/WebExceptionResolver.java,0,11.0,6.0,2.0,60.19,2.0,4,12.0,5.0,1.0,13.0,0.0,1.0,2.0,6.0,4,46.0,0.0,14.81481481
XxlJobGroup.java,xxl-job,AW-Z3VGbrInABnR0cIX9,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobGroup.java,0,8.0,10.0,2.0,76.98,2.0,4,0.0,15.0,1.0,4.0,62.0,13.0,1.0,7.0,16,55.0,0.0,6.779661017
AdminBiz.java,xxl-job,AW-Z3VGdrInABnR0cIY1,xxl-job-core/src/main/java/com/xxl/job/core/biz/AdminBiz.java,0,9.0,6.0,2.0,80.46,1.0,11,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,4,10.0,0.0,69.6969697
AdminBizClient.java,xxl-job,AW-Z3VGdrInABnR0cIYz,xxl-job-core/src/main/java/com/xxl/job/core/biz/client/AdminBizClient.java,0,1.0,48.0,1.0,100.0,1.0,1,5.0,6.0,1.0,2.0,0.0,5.0,1.0,2.0,0,32.0,0.0,15.78947368
DemoJobHandler.java,xxl-job,AW-Z3VGWrInABnR0cIWL,xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/jobhandler/DemoJobHandler.java,0,1.0,32.0,1.0,100.0,1.0,10,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0,16.0,0.0,38.46153846
DemoJobHandler.java,xxl-job,AW-Z3VGWrInABnR0cIWX,xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xuxueli/executor/sample/frameless/jobhandler/DemoJobHandler.java,0,1.0,32.0,1.0,100.0,1.0,10,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0,16.0,0.0,38.46153846
DemoJobHandler.java,xxl-job,AW-Z3VGXrInABnR0cIWj,xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/jobhandler/DemoJobHandler.java,0,3.0,11.0,2.0,58.06,3.0,10,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,13,16.0,0.0,40.74074074
DemoJobHandler.java,xxl-job,AW-Z3VGXrInABnR0cIWs,xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/jobhandler/DemoJobHandler.java,0,4.0,8.0,1.0,100.0,1.0,10,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,4,16.0,0.0,38.46153846
ExecutorBiz.java,xxl-job,AW-Z3VGdrInABnR0cIY2,xxl-job-core/src/main/java/com/xxl/job/core/biz/ExecutorBiz.java,0,5.0,10.0,3.0,83.05,1.0,20,3.0,5.0,1.0,0.0,10.0,5.0,0.0,0.0,7,11.0,0.0,73.17073171
ExecutorBlockStrategyEnum.java,xxl-job,AW-Z3VGdrInABnR0cIYw,xxl-job-core/src/main/java/com/xxl/job/core/enums/ExecutorBlockStrategyEnum.java,0,2.0,18.0,2.0,72.09,2.5,0,1.0,7.0,1.0,3.0,0.0,4.0,3.0,1.0,0,26.0,0.0,13.33333333
ExecutorRouter.java,xxl-job,AW-Z3VGarInABnR0cIXl,xxl-job-admin/src/main/java/com/xxl/job/admin/core/route/ExecutorRouter.java,0,12.0,2.0,2.0,59.38,2.0,4,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9,10.0,0.0,47.36842105
GlueJobHandler.java,xxl-job,AW-Z3VGcrInABnR0cIYe,xxl-job-core/src/main/java/com/xxl/job/core/handler/impl/GlueJobHandler.java,0,11.0,3.0,2.0,94.19,2.0,2,3.0,3.0,2.0,2.0,0.0,3.0,0.0,2.0,24,20.0,0.0,20.0
GlueTypeEnum.java,xxl-job,AW-Z3VGcrInABnR0cIYn,xxl-job-core/src/main/java/com/xxl/job/core/glue/GlueTypeEnum.java,0,8.0,7.0,5.0,57.83,1.0,0,1.0,8.0,1.0,3.0,7.0,6.0,2.0,4.0,0,40.0,0.0,6.976744186
HandleCallbackParam.java,xxl-job,AW-Z3VGdrInABnR0cIZC,xxl-job-core/src/main/java/com/xxl/job/core/biz/model/HandleCallbackParam.java,0,6.0,9.0,3.0,82.03,4.5,7,1.0,9.0,1.0,0.0,4.0,9.0,0.0,4.0,25,40.0,0.0,6.976744186
IndexController.java,xxl-job,AW-Z3VGWrInABnR0cIWS,xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/controller/IndexController.java,0,2.0,7.0,2.0,75.0,1.5,1,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0,9.0,0.0,0.0
IndexController.java,xxl-job,AW-Z3VGYrInABnR0cIWz,xxl-job-executor-samples/xxl-job-executor-sample-jfinal/src/main/java/com/xuxueli/executor/sample/jfinal/controller/IndexController.java,0,2.0,6.0,1.0,100.0,1.0,1,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0,7.0,0.0,0.0
IndexModule.java,xxl-job,AW-Z3VGXrInABnR0cIWq,xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/module/IndexModule.java,0,2.0,8.0,2.0,56.25,2.0,0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,12.0,0.0,0.0
JbootApp.java,xxl-job,AW-Z3VGWrInABnR0cIWQ,xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/JbootApp.java,0,2.0,6.0,2.0,77.78,1.5,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,7.0,0.0,30.0
JbootConfig.java,xxl-job,AW-Z3VGWrInABnR0cIWU,xxl-job-executor-samples/xxl-job-executor-sample-jboot/src/main/java/com/xuxueli/executor/sample/jboot/config/JbootConfig.java,0,2.0,32.0,2.0,94.44,1.5,0,8.0,6.0,2.0,19.0,4.0,4.0,1.0,2.0,0,48.0,0.0,9.433962264
LogResult.java,xxl-job,AW-Z3VGdrInABnR0cIZB,xxl-job-core/src/main/java/com/xxl/job/core/biz/model/LogResult.java,0,2.0,27.0,1.0,100.0,1.0,0,0.0,9.0,1.0,0.0,12.0,9.0,0.0,5.0,0,39.0,0.0,7.142857143
MainModule.java,xxl-job,AW-Z3VGXrInABnR0cIWo,xxl-job-executor-samples/xxl-job-executor-sample-nutz/src/main/java/com/xuxueli/executor/sample/nutz/MainModule.java,0,2.0,12.0,2.0,50.94,4.0,0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0.0,25.0
RegistryConfig.java,xxl-job,AW-Z3VGdrInABnR0cIYx,xxl-job-core/src/main/java/com/xxl/job/core/enums/RegistryConfig.java,0,1.0,13.0,1.0,100.0,1.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,6.0,0.0,33.33333333
TriggerParam.java,xxl-job,AW-Z3VGerInABnR0cIZD,xxl-job-core/src/main/java/com/xxl/job/core/biz/model/TriggerParam.java,0,15.0,10.0,5.0,76.5,3.0,12,0.0,25.0,1.0,0.0,228.0,25.0,0.0,13.0,28,106.0,0.0,2.752293578
WebMvcConfig.java,xxl-job,AW-Z3VGbrInABnR0cIYR,xxl-job-admin/src/main/java/com/xxl/job/admin/controller/interceptor/WebMvcConfig.java,0,1.0,29.0,1.0,100.0,1.0,0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,0,18.0,0.0,21.73913043
XxlJobAdminApplication.java,xxl-job,AW-Z3VGZrInABnR0cIXU,xxl-job-admin/src/main/java/com/xxl/job/admin/XxlJobAdminApplication.java,0,1.0,16.0,1.0,100.0,1.0,7,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,9.0,0.0,25.0
XxlJobConfig.java,xxl-job,AW-Z3VGWrInABnR0cIWJ,xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/core/config/XxlJobConfig.java,0,12.0,6.0,2.0,91.67,1.0,6,7.0,1.0,1.0,9.0,0.0,1.0,0.0,9.0,24,38.0,0.0,35.59322034
XxlJobException.java,xxl-job,AW-Z3VGZrInABnR0cIXe,xxl-job-admin/src/main/java/com/xxl/job/admin/core/exception/XxlJobException.java,0,1.0,14.0,1.0,100.0,1.0,1,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0,8.0,0.0,27.27272727
XxlJobExecutorApplication.java,xxl-job,AW-Z3VGWrInABnR0cIWD,xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/XxlJobExecutorApplication.java,0,4.0,4.0,2.0,65.0,1.0,0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,9.0,0.0,25.0
XxlJobGroupDao.java,xxl-job,AW-Z3VGZrInABnR0cIXM,xxl-job-admin/src/main/java/com/xxl/job/admin/dao/XxlJobGroupDao.java,0,8.0,3.0,3.0,58.0,1.5,2,3.0,6.0,1.0,0.0,15.0,6.0,0.0,0.0,10,14.0,0.0,17.64705882
XxlJobInfoDao.java,xxl-job,AW-Z3VGZrInABnR0cIXS,xxl-job-admin/src/main/java/com/xxl/job/admin/dao/XxlJobInfoDao.java,0,8.0,6.0,2.0,96.83,1.5,1,3.0,10.0,1.0,0.0,45.0,10.0,0.0,0.0,29,30.0,0.0,11.76470588
XxlJobLog.java,xxl-job,AW-Z3VGbrInABnR0cIYB,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobLog.java,0,22.0,7.0,3.0,51.19,2.0,1,0.0,30.0,1.0,0.0,405.0,30.0,0.0,15.0,53,109.0,0.0,7.627118644
XxlJobLogDao.java,xxl-job,AW-Z3VGZrInABnR0cIXR,xxl-job-admin/src/main/java/com/xxl/job/admin/dao/XxlJobLogDao.java,0,8.0,8.0,2.0,91.11,1.0,2,3.0,12.0,1.0,0.0,66.0,12.0,0.0,0.0,56,41.0,0.0,10.86956522
XxlJobLogGlueDao.java,xxl-job,AW-Z3VGZrInABnR0cIXN,xxl-job-admin/src/main/java/com/xxl/job/admin/dao/XxlJobLogGlueDao.java,0,2.0,12.0,1.0,100.0,1.5,0,3.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,12,12.0,0.0,25.0
XxlJobLogReport.java,xxl-job,AW-Z3VGbrInABnR0cIYA,xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobLogReport.java,0,1.0,54.0,1.0,100.0,1.0,0,0.0,10.0,1.0,0.0,35.0,10.0,0.0,5.0,0,39.0,0.0,0.0
